Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA1229	-	1.54	0.28	2.16	0.44	-	COG2207	Transcription
PA1230	-	3.47	0.51	10.38	0.71	-	-	-
PA1231	-	2.41	0.4	4.49	0.52	-	COG1566	Defense mechanisms
PA1232	-	3.46	0.066	12.42	0.075	-	COG1289	Function unknown
PA1233	-	1.18	0.81	2.16	0.71	-	-	-
PA1234	-	0.61	0.19	0.59	0.48	-	-	-
PA1235	-	2.11	0.22	2.23	0.73	-	COG2207	Transcription
PA1236	-	3.29	0.082	5.93	0.4	-	COG2814	Carbohydrate transport and metabolism
PA1237	-	3.81	0.19	3.72	0.5	K03543	COG1566	Defense mechanisms
PA1238	-	3.22	0.12	5.37	0.28	-	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA1239	-	0.99	0.97	4.7	0.29	-	COG4757	General function prediction only
PA1240	-	1.02	1	3.03	0.8	-	COG1024	Lipid metabolism
PA1241	-	1.06	0.9	0.37	0.53	-	COG1309	Transcription
PA1242	-	2.84	0.023	6.87	0.0037	-	COG1404	Posttranslational modification, protein turnover, chaperones
PA1243	-	1.42	0.28	5.27	0.00063	-	COG0642	Signal transduction mechanisms
PA1244	-	0.49	0.06	0.99	0.91	-	-	-
PA1245	-	17.44	0.0000018	12.05	0.041	-	-	-
PA1246	aprD	59.2	2.9E-40	55.07	2.3E-21	K12536	COG4618	General function prediction only
PA1247	aprE	24.03	4.6E-13	11.35	0.057	K12537	COG1566	Defense mechanisms
PA1248	aprF	13.47	0.00014	11.2	0.29	K12538	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA1249	aprA	70.33	1.7E-11	14.16	0.21	-	COG2931	Secondary metabolites biosynthesis, transport, and catabolism
PA1250	aprI	4.44	0.0004	2.57	0.29	-	-	-
PA1251	-	4	0.059	8.54	0.14	-	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA1252	-	6.26	0.000014	2.77	0.35	-	COG2055	Energy production and conversion
PA1253	-	2.6	0.26	4.08	0.54	K14519	COG1012	Energy production and conversion
PA1254	-	6.15	0.00057	29.23	0.0000018	K01714	COG0329	Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane
PA1255	-	2.3	0.43	4.41	0.59	-	COG3938	Amino acid transport and metabolism
PA1256	-	3.55	0.11	12.12	0.43	K02028	COG1126	Amino acid transport and metabolism
PA1257	-	1.83	0.63	3.26	0.67	K02029	COG0765	Amino acid transport and metabolism
PA1258	-	4.77	0.39	33.64	0.44	K02029	COG0765	Amino acid transport and metabolism
PA1259	-	5.77	0.079	6.61	0.6	K09123	COG1679	General function prediction only
PA1260	-	2.87	0.088	6.32	0.064	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA1261	-	1.48	0.98	0.44	1	-	COG2207	Transcription
PA1262	-	3.36	0.079	6.68	0.26	-	COG2814	Carbohydrate transport and metabolism
PA1263	-	0.71	0.85	1.98	0.71	-	-	-
PA1264	-	2.45	0.073	4.12	0.25	-	COG0583	Transcription
PA1265	-	3.37	0.13	7.73	0.34	-	-	-
PA1266	-	10.65	0.00029	19.55	0.093	-	-	-
PA1267	-	4.75	0.012	4.37	0.35	-	COG0665	Amino acid transport and metabolism
PA1268	-	4.1	0.051	5.86	0.41	K12658	COG3938	Amino acid transport and metabolism
PA1269	-	1.44	0.66	0.74	0.95	-	COG1802	Transcription
PA1270	-	1.12	1	0.85	0.96	-	COG1289	Function unknown
PA1271	-	0.22	0.00000068	0.2	0.001	K16092	COG4206	Coenzyme metabolism
PA1272	cobO	0.19	0.000032	0.24	0.014	K00798	COG2109	Coenzyme metabolism
PA1273	cobB	0.28	0.0082	0.63	0.49	K02224	COG1797	Coenzyme metabolism
PA1274	-	0.13	0.0000057	0.31	0.095	K04719	COG0778	Energy production and conversion
PA1275	cobD	0.41	0.016	0.47	0.36	K02227	COG1270	Coenzyme metabolism
PA1276	cobC	0.24	0.0021	0.37	0.43	K02225	COG0079	Amino acid transport and metabolism
PA1277	cobQ	0.18	0.0000031	0.24	0.049	K02232	COG1492	Coenzyme metabolism
PA1278	cobP	0.25	0.0021	0.36	0.088	K02231	COG2087	Coenzyme metabolism
PA1279	cobU	0.37	0.012	0.69	0.6	K00768	COG2038	Coenzyme metabolism
PA1280	-	0.19	0.00071	0.34	0.16	K02226	COG0406	General function prediction only
PA1281	cobV	0.38	0.057	0.68	0.69	K02233	COG0368	Coenzyme metabolism
PA1282	-	4.36	0.017	11.16	0.002	K08167	-	-
PA1283	-	1.49	0.17	0.56	0.71	-	-	-
PA1284	-	2.04	0.2	3.14	0.28	-	COG1960	Lipid metabolism
PA1285	-	1.51	0.55	0.78	0.89	-	COG1846	Transcription
PA1286	-	0.67	0.71	1.07	0.91	-	-	-
PA1287	-	1.83	0.71	0.34	0.35	K00432	COG0386	Posttranslational modification, protein turnover, chaperones
PA1288	-	0.48	0.0042	0.36	0.0039	K06076	COG2067	Lipid metabolism
PA1289	-	10.61	0.0019	4.71	0.49	-	-	-
PA1290	-	1.29	0.43	3.17	0.3	-	COG1309	Transcription
PA1291	-	1.99	0.13	20.85	0.00000036	-	COG4757	General function prediction only
PA1292	-	1.02	0.99	0.66	1	K01011	COG2897	Inorganic ion transport and metabolism
PA1293	-	0.26	0.00011	0.32	0.034	-	COG3386	Carbohydrate transport and metabolism
PA1294	-	0.56	0.093	0.68	0.57	K03684	COG0349	Translation, ribosomal structure and biogenesis
PA1295	-	0.35	0.034	0.45	0.56	K09902	COG3100	Function unknown
PA1296	-	2.97	0.095	1.5	0.72	-	COG0111	Amino acid transport and metabolism
PA1297	-	0.8	0.72	1.08	1	-	COG1230	Inorganic ion transport and metabolism
PA1298	-	1.37	0.53	1.46	1	-	COG1937	Function unknown
PA1299	-	0.58	0.31	0.25	0.061	K09160	COG2983	Function unknown
PA1300	-	1.76	0.4	2.24	0.42	K03088	COG1595	Transcription
PA1301	-	2.22	0.051	2.77	0.54	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA1302	-	3.61	0.000094	3.55	0.045	K16087	COG1629	Inorganic ion transport and metabolism
PA1303	-	0.38	0.082	0.4	0.35	K03100	COG0681	Intracellular trafficking and secretion
PA1304	-	1.09	0.65	1.42	1	K01354	COG1770	Amino acid transport and metabolism
PA1305	-	0.72	0.24	0.3	0.017	-	-	-
PA1306	-	1.11	1	0.4	0.08	-	COG0537	Nucleotide transport and metabolism / Carbohydrate transport and metabolism / General function prediction only
PA1307	-	1.17	0.83	0.3	0.0027	K07008	COG0121	General function prediction only
PA1308	-	0.96	0.71	0.65	0.46	-	-	-
PA1309	-	0.66	0.46	0.8	0.95	-	COG0583	Transcription
PA1310	phnW	3.25	0.033	3.33	0.67	K03430	COG0075	Amino acid transport and metabolism
PA1311	phnX	1.83	0.3	4.11	0.25	K05306	COG0637	General function prediction only
PA1312	-	1.1	1	0.47	0.91	-	COG0583	Transcription
PA1313	-	2.99	0.038	3.76	0.24	-	COG2814	Carbohydrate transport and metabolism
PA1314	-	1.13	0.92	1.86	0.67	-	COG4460	Function unknown
PA1315	-	0.71	0.62	0.56	1	-	COG1309	Transcription
PA1316	-	1.79	0.25	2.31	0.36	-	-	-
PA1317	cyoA	0.39	0.17	1.07	0.87	K02297	COG1622	Energy production and conversion
PA1318	cyoB	0.39	0.11	1.3	0.9	K02298	COG0843	Energy production and conversion
PA1319	cyoC	0.8	0.92	3.29	0.27	K02299	COG1845	Energy production and conversion
PA1320	cyoD	0.52	0.41	0.94	1	K02300	COG3125	Energy production and conversion
PA1321	cyoE	0.41	0.076	1.66	0.86	K02301	COG0109	Posttranslational modification, protein turnover, chaperones
PA1322	-	2.87	0.084	5.41	0.27	K16090	COG4774	Inorganic ion transport and metabolism
PA1323	-	26.47	0.022	18.31	0.23	-	COG4575	Function unknown
PA1324	-	21.97	0.019	24.21	0.14	-	-	-
PA1324.1	-	0.59	0.081	0.43	0.27	-	-	-
PA1325	-	0.61	0.64	0.44	0.86	-	COG4319	Function unknown
PA1326	-	0.61	0.28	3.47	0.21	K01754	COG1171	Amino acid transport and metabolism
PA1327	-	2.26	0.044	2.12	0.59	K01173	COG1864	Nucleotide transport and metabolism
PA1328	-	1.17	1	0.84	0.81	-	COG0583	Transcription
PA1329	-	2.92	0.52	17.02	0.29	-	COG3193	General function prediction only
PA1330	-	2.08	0.16	1.31	0.92	-	COG0300	General function prediction only
PA1331	-	0.89	0.83	0.54	0.88	-	COG0861	Inorganic ion transport and metabolism
PA1332	-	3.16	0.045	3.36	0.48	-	-	-
PA1333	-	2.36	0.48	8.95	0.66	-	-	-
PA1334	-	0.9	0.84	5.6	0.38	K10680	COG1902	Energy production and conversion
PA1335	-	0.4	0.012	0.37	0.3	K17061	COG2204	Signal transduction mechanisms
PA1336	-	0.45	0.048	0.68	0.66	K17060	COG4191	Signal transduction mechanisms
PA1337	ansB	0.32	0.019	0.13	0.0024	K05597	COG0252	Amino acid transport and metabolism / Translation, ribosomal structure and biogenesis
PA1338	-	0.17	0.00038	0.16	0.0022	K00681	COG0405	Amino acid transport and metabolism
PA1339	-	0.21	0.001	0.08	0.000076	K10004	COG1126	Amino acid transport and metabolism
PA1340	-	0.17	0.00093	0.07	0.00062	K10002	COG0765	Amino acid transport and metabolism
PA1341	-	0.22	0.013	0.12	0.0097	K10003	COG0765	Amino acid transport and metabolism
PA1342	-	0.2	0.006	0.08	0.0011	K10001	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA1343	-	0.26	0.022	0.86	0.73	-	-	-
PA1344	-	1.62	0.52	2.47	0.34	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA1345	-	2.02	0.15	4.37	0.13	-	COG0189	Coenzyme metabolism / Translation, ribosomal structure and biogenesis
PA1346	-	4.54	0.027	6.92	0.13	-	COG1982	Amino acid transport and metabolism
PA1347	-	3.2	0.11	4.72	0.55	-	COG2197	Signal transduction mechanisms / Transcription
PA1348	-	4.8	0.0028	11.04	0.007	-	-	-
PA1349	-	3.3	0.22	2.42	0.86	-	COG3795	Function unknown
PA1350	-	4.43	0.0012	5.3	0.59	-	COG4312	Function unknown
PA1351	-	22.16	0.00019	23.59	0.00045	K03088	COG4941	Transcription
PA1352	-	3.69	0.19	6.92	0.42	-	-	-
PA1353	-	2.28	0.32	1.3	0.99	K04750	COG2764	Function unknown
PA1354	-	1.28	0.98	0.4	1	-	COG3795	Function unknown
PA1355	-	9.14	0.11	17.86	0.33	-	-	-
PA1356	-	3.15	0.4	9.99	0.22	-	-	-
PA1357	-	1.94	0.25	7.31	0.00023	-	COG2606	Function unknown
PA1358	-	1.46	0.53	0.43	1	-	COG3865	Function unknown
PA1359	-	1.24	0.88	1.36	0.55	-	COG3620	Transcription
PA1360	-	2.74	0.0097	8.13	0.0073	K11939	COG5006	Amino acid transport and metabolism
PA1361	-	0.57	0.18	0.88	0.65	K03327	COG0534	Defense mechanisms
PA1362	-	1.74	0.68	4.77	0.83	-	-	-
PA1363	-	4.93	0.059	22.45	8E-10	K03088	COG1595	Transcription
PA1364	-	0.82	0.94	1.45	0.84	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA1365	-	1.64	0.37	3.05	0.11	K02014	COG1629	Inorganic ion transport and metabolism
PA1366	-	0.75	0.19	0.44	0.031	K04095	COG2184	Cell division and chromosome partitioning
PA1367	-	0.6	0.29	0.93	0.81	K06998	COG0384	General function prediction only
PA1368	-	1.38	0.34	2.78	0.14	K07487	COG3666	DNA replication, recombination, and repair
PA1369	-	0.56	0.042	0.33	0.0059	-	-	-
PA1370	-	1.88	0.35	1.18	0.79	-	-	-
PA1371	-	0.39	0.0025	0.23	0.003	-	COG5619	Function unknown
PA1372	-	0.57	0.064	0.32	0.00097	-	COG3972	General function prediction only
PA1373	-	0.55	0.26	1.43	0.43	K09458	COG0304	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA1374	-	1.23	0.7	1.51	0.71	-	COG1733	Transcription
PA1375	pdxB	0.78	0.75	0.84	1	K03473	COG0111	Amino acid transport and metabolism
PA1376	aceK	1.19	0.81	3.28	0.52	K00906	COG4579	Signal transduction mechanisms
PA1377	-	1.12	1	0.68	1	K03825	COG1670	Translation, ribosomal structure and biogenesis
PA1378	-	0.52	0.19	0.39	0.75	-	-	-
PA1379	-	44.92	7.8E-23	36.4	0.000085	-	COG0300	General function prediction only
PA1380	-	2.52	0.042	2.91	0.29	-	COG2207	Transcription
PA1381	-	0.79	1	4.4	0.34	-	-	-
PA1382	-	3.86	0.0000022	3.39	0.009	K02453	COG1450	Cell motility and secretion / Intracellular trafficking and secretion
PA1383	-	2.4	0.0088	1.67	0.41	-	-	-
PA1384	galE	2.91	0.029	4.27	0.072	K01784	COG1087	Cell envelope biogenesis, outer membrane
PA1385	-	4.17	0.00018	3.89	0.17	-	COG0438	Cell envelope biogenesis, outer membrane
PA1386	-	1.65	0.15	2.1	0.33	K09691	COG1134	Carbohydrate transport and metabolism / Cell envelope biogenesis, outer membrane
PA1387	-	2.19	0.027	2.57	0.35	-	-	-
PA1388	-	1.34	0.48	1.55	1	-	-	-
PA1389	-	1.09	0.58	0.75	0.96	-	COG0438	Cell envelope biogenesis, outer membrane
PA1390	-	1.11	0.81	1.54	0.99	-	COG0463	Cell envelope biogenesis, outer membrane
PA1391	-	1.17	0.54	4.08	0.13	-	COG0438	Cell envelope biogenesis, outer membrane
PA1392	-	2.92	0.38	0.75	1	-	COG3551	Function unknown
PA1393	cysC	2.28	0.19	4.85	0.26	K00860	COG0529	Inorganic ion transport and metabolism
PA1394	-	0.25	0.14	0.39	1	-	-	-
PA1395	-	0.87	0.94	0.55	1	-	-	-
PA1396	-	0.34	0.0034	0.26	0.079	-	COG0642	Signal transduction mechanisms
PA1397	-	0.7	0.6	0.88	1	-	COG2197	Signal transduction mechanisms / Transcription
PA1398	-	0.42	0.09	0.35	0.48	-	-	-
PA1399	-	0.54	0.8	0.51	0.94	-	COG0583	Transcription
PA1400	-	1.41	0.55	2.77	0.55	-	COG4799	Lipid metabolism
PA1401	-	0.5	0.11	0.54	0.61	-	COG5485	General function prediction only
PA1402	-	4.6	0.046	2.54	0.8	-	COG4122	General function prediction only
PA1403	-	1.56	0.63	1.13	0.68	-	COG1309	Transcription
PA1404	-	4.99	0.17	19.75	0.13	-	-	-
PA1405	-	0.36	0.0045	0.66	0.77	-	COG0210	DNA replication, recombination, and repair
PA1406	-	1.78	0.52	1.1	0.74	K07076	-	-
PA1407	-	0.76	0.55	0.81	0.8	K06969	COG1092	General function prediction only
PA1408	-	11.1	0.0000062	10.21	0.003	-	COG3264	Cell envelope biogenesis, outer membrane
PA1409	aphA	2.29	0.41	5.63	0.4	-	COG0123	Chromatin structure and dynamics / Secondary metabolites biosynthesis, transport, and catabolism
PA1410	-	3.86	0.037	2.73	0.65	K11073	COG0687	Amino acid transport and metabolism
PA1411	-	0.82	0.78	0.63	1	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA1412	-	5.97	0.011	11.5	0.2	-	-	-
PA1413	-	1.27	0.81	1.26	0.6	-	COG0583	Transcription
PA1414	-	31.17	2.9E-16	26.37	0.04	-	-	-
PA1415	-	1.67	0.47	4.47	0.21	-	COG0491	General function prediction only
PA1416	-	1.45	0.63	3.43	0.55	-	COG0277	Energy production and conversion
PA1417	-	2.71	0.075	8.46	0.071	K01652	COG0028	acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase 
PA1418	-	1.23	0.54	1.01	0.97	K03307	COG0591	Amino acid transport and metabolism / General function prediction only
PA1419	-	1.87	0.45	5.29	0.13	-	COG1457	Nucleotide transport and metabolism
PA1420	-	3.01	0.58	6.32	0.67	-	COG4319	Function unknown
PA1421	gbuA	5.81	0.0078	20.38	7.3E-10	K12255	COG0010	Amino acid transport and metabolism
PA1422	gbuR	0.62	0.39	0.39	0.34	-	COG0583	Transcription
PA1423	bdlA	4.88	0.016	7.01	0.29	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA1424	-	0.88	0.74	0.76	0.99	-	COG3148	Function unknown
PA1425	-	0.72	0.52	0.78	0.61	-	COG0488	General function prediction only
PA1426	-	0.52	0.64	1.02	1	-	-	-
PA1427	-	17.62	6.7E-09	69.58	0.0013	-	-	-
PA1428	-	1.38	0.61	1.54	0.46	K03827	-	-
PA1429	-	1.27	0.43	1.06	0.92	K01552	COG0474	Inorganic ion transport and metabolism
PA1430	lasR	5.08	0.000011	2.06	0.22	-	COG2771	Transcription
PA1431	rsaL	2.12	0.3	0.29	0.0034	-	-	-
PA1432	lasI	0.62	0.26	0.26	0.0087	K13060	COG3916	Signal transduction mechanisms / Secondary metabolites biosynthesis, transport, and catabolism
PA1433	-	0.89	0.69	1.52	0.99	-	COG2200	Signal    transduction mechanisms
PA1434	-	0.71	0.51	1.02	0.98	-	COG3672	General    function prediction only
PA1435	-	1.57	0.39	4.99	0.36	-	COG0845	Cell envelope biogenesis, outer membrane
PA1436	-	2.98	0.013	20.92	5.8E-09	K03296	COG0841	Defense mechanisms
PA1437	-	0.88	0.97	0.34	0.33	K07665	COG0745	Signal transduction mechanisms / Transcription
PA1438	-	0.96	0.86	1.32	1	K07644	COG0642	Signal transduction mechanisms
PA1439	-	0.68	0.56	0.37	0.2	K09790	COG2832	Function unknown
PA1440	-	0.51	0.047	0.42	0.18	K07039	COG3318	General function prediction only
PA1441	-	0.43	0.0059	0.3	0.08	K02414	COG3144	Cell motility and secretion
PA1442	-	0.62	0.14	0.39	0.12	K02415	COG1580	Cell motility and secretion
PA1443	fliM	0.67	0.12	0.47	0.14	K02416	COG1868	Cell motility and secretion
PA1444	fliN	0.55	0.068	0.37	0.059	K02417	COG1886	Cell motility and secretion / Intracellular trafficking and secretion
PA1445	fliO	0.49	0.061	0.74	0.86	K02418	COG3190	Cell motility and secretion
PA1446	fliP	0.35	0.0027	0.25	0.22	K02419	COG1338	Cell motility and secretion / Intracellular trafficking and secretion
PA1447	fliQ	0.53	0.2	1.05	0.64	K02420	COG1987	Cell motility and secretion / Intracellular trafficking and secretion
PA1448	fliR	0.84	0.45	0.27	0.14	K02421	COG1684	Cell motility and secretion / Intracellular trafficking and secretion
PA1449	flhB	3.67	0.31	12.22	0.00000032	K02401	COG1377	Cell motility and secretion / Intracellular trafficking and secretion
PA1450	-	0.94	0.99	1.14	0.75	K06872	COG1512	General function prediction only
PA1451	-	0.34	0.0054	0.55	0.42	K06872	COG1512	General function prediction only
PA1452	flhA	0.65	0.15	0.5	0.12	K02400	COG1298	Cell motility and secretion / Intracellular trafficking and secretion
PA1453	flhF	1.01	0.91	0.64	0.27	K02404	COG1419	Cell motility and secretion
PA1454	fleN	0.69	0.28	0.46	0.04	K04562	COG0455	Cell motility
PA1455	fliA	0.61	0.12	0.39	0.0035	K02405	COG1191	Transcription
PA1456	cheY	0.42	0.0012	0.13	2.9E-09	K03413	COG0784	Signal transduction mechanisms
PA1457	cheZ	0.66	0.11	0.3	0.005	K03414	COG3143	Cell motility and secretion / Signal transduction mechanisms
PA1458	-	0.61	0.085	0.37	0.0077	K03407	COG0643	Cell motility and secretion / Signal transduction mechanisms
PA1459	-	0.7	0.25	0.38	0.067	K03412	COG2201	Cell motility and secretion / Signal transduction mechanisms
PA1460	motC	0.6	0.052	0.37	0.12	K02556	COG1291	Cell motility and secretion
PA1461	motD	0.62	0.1	0.41	0.2	K02557	COG1360	Cell motility and secretion
PA1462	-	0.55	0.023	0.25	0.0016	K03496	COG1192	Cell division and chromosome partitioning
PA1463	-	1.32	0.59	0.45	0.023	K03408	-	-
PA1464	-	0.66	0.12	0.15	0.0000016	K03408	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA1465	-	0.85	0.48	0.51	0.68	-	-	-
PA1466	-	2.83	0.21	4.27	0.26	K00799	COG0625	Posttranslational modification, protein turnover, chaperones
PA1467	-	0.66	0.48	0.86	1	-	COG2378	Transcription
PA1468	-	0.54	0.66	0.4	0.79	-	-	-
PA1469	-	0.55	0.23	0.61	0.83	K05810	COG1496	Secondary metabolites biosynthesis, transport and catabolism
PA1470	-	2.53	0.22	4.7	0.27	K00059	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA1471	-	2.88	0.22	7.23	0.58	-	-	-
PA1472	-	0.75	0.57	1.98	0.83	-	COG1670	Translation, ribosomal structure and biogenesis
PA1473	-	1.05	0.83	0.77	0.71	K04061	COG2257	Function unknown
PA1474	-	0.88	0.67	0.6	0.77	-	-	-
PA1475	ccmA	0.52	0.11	0.22	0.058	K02193	COG4133	Posttranslational modification, protein turnover, chaperones
PA1476	ccmB	0.51	0.06	1.88	0.36	K02194	COG2386	Posttranslational modification, protein turnover, chaperones
PA1477	ccmC	0.67	0.12	0.33	0.026	K02195	COG0755	Posttranslational modification, protein turnover, chaperones
PA1478	-	0.76	0.61	0.18	0.62	K02196	COG3114	Intracellular trafficking and secretion
PA1479	ccmE	0.36	0.00085	0.18	0.0024	K02197	COG2332	Posttranslational modification, protein turnover, chaperones
PA1480	ccmF	0.22	0.00000017	0.48	0.11	K02198	COG1138	Posttranslational modification, protein turnover, chaperones
PA1481	ccmG	0.34	0.00047	0.24	0.0054	K02199	COG0526	Posttranslational modification, protein turnover, chaperones / Energy production and conversion
PA1482	ccmH	0.34	0.0022	0.37	0.16	K02200	COG3088	Posttranslational modification, protein turnover, chaperones
PA1483	cycH	0.39	0.0026	0.32	0.047	K02200	COG4235	Posttranslational modification, protein turnover, chaperones
PA1484	-	2.41	0.054	3.11	0.42	-	COG2197	Signal transduction mechanisms / Transcription
PA1485	-	2.65	0.13	3.45	0.27	-	COG0531	Amino acid transport and metabolism
PA1486	-	1.87	0.44	6.19	0.26	K01266	COG3191	Amino acid transport and metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA1487	-	1.49	0.48	6.36	0.065	K00864	COG0554	Energy production and conversion
PA1488	-	1.19	0.8	2.53	0.27	-	COG0446	General function prediction only
PA1489	-	1.56	0.49	1.36	0.8	-	COG0579	General function prediction only
PA1490	-	1.58	0.4	1.32	0.79	K02444	COG1349	Transcription / Carbohydrate transport and metabolism
PA1491	-	1.94	0.34	3.73	0.46	K04023	COG3192	Amino acid transport and metabolism
PA1492	-	10.3	0.00054	67.32	0.000000038	-	-	-
PA1493	cysP	0.21	0.000000035	0.09	1.2E-13	K02048	COG1613	Inorganic ion transport and metabolism
PA1494	-	1.02	0.84	4.18	0.019	-	-	-
PA1495	-	0.71	0.73	1.3	0.87	-	COG4339	Function unknown
PA1496	-	0.92	0.81	2.38	0.41	K10716	COG1226	Inorganic ion transport and metabolism
PA1497	-	1.85	0.41	6.22	0.27	K08717	COG4413	Amino acid transport and metabolism
PA1498	pykF	4.11	0.039	16.72	0.0022	K00873	COG0469	Carbohydrate transport and metabolism
PA1499	-	2.28	0.22	4.79	0.36	K00050	COG2379	Carbohydrate transport and metabolism
PA1500	-	2.06	0.13	4.64	0.061	K00042	COG2084	Lipid metabolism
PA1501	-	1.64	0.53	4.55	0.52	K01816	COG3622	Carbohydrate transport and metabolism
PA1502	-	6.26	0.0000012	35.69	4.4E-14	K01608	COG3960	General function prediction only
PA1503	-	3.56	0.035	12.78	0.013	-	COG3193	General function prediction only
PA1504	-	0.48	0.017	0.21	0.017	K09017	COG1309	Transcription
PA1505	-	0.22	0.00000079	0.19	0.0002	K03639	COG2896	Coenzyme metabolism
PA1506	-	3.94	0.19	7.95	0.022	-	COG4551	General function prediction only
PA1507	-	2.4	0.11	1.89	0.53	K03458	COG2233	Nucleotide transport and metabolism
PA1508	-	3.14	0.29	1.89	0.77	-	COG4104	Function unknown
PA1509	-	2.91	0.0015	1.81	0.78	-	-	-
PA1510	-	3.46	0.0015	1.71	0.66	-	-	-
PA1511	-	2.92	0.096	0.78	1	K11904	COG3501	Function unknown
PA1512	hcpA	11.09	0.3	1.27	1	K11903	COG3157	Intracellular trafficking, secretion,    and vesicular transport
PA1513	-	0.96	0.83	2.21	0.16	-	COG3748	Function unknown
PA1514	-	2.38	0.091	2.39	0.47	K01483	COG3194	Nucleotide transport and metabolism
PA1515	-	1.9	0.18	3.09	0.13	K01477	COG4266	Nucleotide transport and metabolism
